# LOW                HIGH                9.25_COUNT          9.5_COUNT           9.75_COUNT          10_COUNT            10.25_COUNT         10.5_COUNT         10.75_COUNT        11_COUNT            11.25_COUNT         11.5_COUNT         
  0.0                0.02                5.642750373692078   5.148713826366559   4.641959463072892   4.416821401554226   3.845026791694575   2.34897656629583   1.0843140388805235 0.34539661675620076 0.1463522394654001  0.11053932041540492
  0.02               0.04                4.58395615346288    4.007234726688103   3.7141023584148884  3.619077092359535   3.4169876088412594  2.5819432159364135 1.4889339401229842 0.641144702251686   0.23747721875517755 0.08267226484849612
  0.04               0.06                3.4504235176880917  2.845659163987138   2.5776779506925505  2.57375696306994    2.4792782987273947  1.9048449588259475 1.1848381099792222 0.6075694365070294  0.28349993556819647 0.1384063759823137 
  0.06               0.08                2.6469855505729947  2.2990353697749195  2.1391518263008718  2.1164294065057425  1.9444909578030813  1.4644507842379997 0.9724336919673275 0.5404189050177164  0.2687726661880304  0.10682371300648374
  0.08               0.1                 2.3729446935724963  2.037781350482315   1.9225627038879085  1.7158379753799602  1.5509879437374416  1.24020481132193   0.8184930642596969 0.4646959652531718  0.24253971760460963 0.1123971241198655 
  0.1                0.12000000000000001 1.9992526158445443  1.8609324758842443  1.6631905449489277  1.585172959218761   1.3762139986604154  1.0545789781858501 0.7352137082867165 0.43790718939307355 0.22367040371127186 0.0984635963364111 
  0.12               0.13999999999999999 1.9867962132536123  1.780546623794212   1.5883202310283973  1.5060862389106664  1.3008623576691227  1.014090121964893  0.717548390353054  0.4164761687049949  0.23839767309143792 0.10032140004087169
  0.14               0.16                1.862232187344295   1.80064308681672    1.5642547729825125  1.3410356921807305  1.0549229738780979  0.9194084889558858 0.672543889903009  0.42147674019887993 0.24207949043647944 0.10125030189310198
  0.16               0.18                1.8497757847533634  1.5233118971061093  1.4332317236215841  1.282580290213878   1.0360850636302747  0.8521346970810648 0.6885267966048941 0.43469253628986176 0.24207949043647944 0.1123971241198655 
  0.18               0.19999999999999998 1.5570503238664675  1.5916398713826365  1.4252099042729558  1.2705453545148202  1.0277126590756867  0.8309559107501028 0.6422604877310161 0.4468367813464396  0.2761363008781134  0.13097516116447136
  0.2                0.22                1.2580966616841056  1.5795819935691318  1.3369698914380448  1.2275634413038994  0.9502679169457469  0.8166290847026871 0.6952564415320036 0.4821979654817694  0.2788976638868946  0.14212198339123489
  0.22               0.24                1.2394120577977081  1.2781350482315113  1.3637092892668057  1.1811429750361049  0.9303834561286002  0.825349761427201  0.6620288197044003 0.49184192479140476 0.30421015813405494 0.16441562784476194
  0.24               0.26                1.3577478824115596  1.2781350482315113  1.280817155997647   1.1003369781995738  0.9743385800401876  0.7842379997259216 0.6986212639955585 0.49612812892902053 0.31525561016917947 0.14955319820907723
  0.26               0.28                1.339063278525162   1.2258842443729903  1.2193165409914968  1.2275634413038994  0.901080040187542   0.7798776613636647 0.6897886050287272 0.5314893130643502  0.335965832735038   0.1820647630371375 
  0.28               0.30000000000000004 1.283009466865969   1.3464630225080385  1.3236001925236645  1.0900213190289527  0.9429420629604823  0.8241039504665562 0.7474111897171025 0.5775660075437193  0.38935218423813994 0.1829936648893678 
  0.3                0.32                1.0276532137518686  1.2459807073954983  1.2193165409914968  1.0212502578914793  0.8508456128600135  0.780500566843987  0.6977800583796697 0.5832809463938736  0.43077262936985694 0.2127185241607372 
  0.32               0.34                1.0712506228201295  1.0811897106109325  1.1123589496764532  1.0504779588749056  0.8968938379102479  0.7948273928914026 0.7482523953329913 0.6211424162761459  0.4165055871578211  0.2851728686347001 
  0.34               0.36000000000000004 0.9653712007972098  1.1535369774919613  1.1845553238141078  1.0556357884602159  0.9617799732083055  0.8216123285452664 0.785686045240038  0.6475740084581095  0.4777158005191362  0.2833150649302395 
  0.36               0.38                0.9155455904334828  1.0409967845659163  1.1177068292422054  1.053916511931779   0.9418955123911589  0.7537156311901232 0.7915744845512588 0.7007943765001715  0.5172953369783325  0.32418674642837236
  0.38               0.4                 0.766068759342302   1.085209003215434   1.0829456120648162  0.9524791967540059  0.860264567983925   0.8184978011436544 0.8142870361802536 0.7379414790261745  0.5536532832606174  0.40500120757240793
  0.4                0.42000000000000004 0.8283507722969606  0.9485530546623794  1.0642280335846837  1.0023382160786742  0.9251507032819827  0.880788349175896  0.8483558636237455 0.7822322551148704  0.6213066769757551  0.43008155758262584
  0.42               0.44                0.8221225710014948  0.9083601286173633  1.0294668164072944  0.9129358365999588  0.958640321500335   0.9299978821213668 0.9211201493981174 0.8483112355697795  0.6604259862668213  0.5155405279878128 
  0.44               0.46                0.7224713502740409  0.8038585209003215  0.9706401411840205  1.0023382160786742  0.8822421299397187  0.9256375437591099 0.9307940139808373 0.8943879300491485  0.7253180169731779  0.5842792650528545 
  0.46               0.48000000000000004 0.6975585450921774  0.8561093247588424  0.9305310444408792  0.962794855924627   0.9188713998660416  0.9231459218378203 0.9678070610799397 0.9976140130300607  0.7856077759982327  0.6846006650937262 
  0.48               0.5                 0.809666168410563   0.7154340836012861  0.9171613455264988  0.8561997111615433  0.9178248492967181  0.906327473869115  0.9833693649738805 0.9754686249857127  0.8730509379429686  0.7728463410556041 
