# B/T_low  B/T_high  9<logM<9.5  9.5<logM<10  10<logM<10.5  10.5<logM<11  logM>11
4.600000000000000200e-01 4.799999999999999822e-01 1.686832039137786676e+00 1.433025542631011229e+00 1.293103448275862100e+00 1.724137931034482873e+00 1.301115241635687703e+00
4.799999999999999822e-01 5.000000000000000000e-01 1.611314497726265449e+00 1.376064276292121580e+00 1.982758620689655249e+00 2.738336713995943583e+00 2.137546468401486877e+00
5.000000000000000000e-01 5.200000000000000178e-01 1.615418711933413132e+00 1.367070392133349577e+00 1.336206896551724199e+00 1.419878296146044772e+00 2.137546468401486877e+00
5.200000000000000178e-01 5.400000000000000355e-01 1.612545761988409820e+00 1.451013310948555235e+00 1.422413793103448398e+00 1.217038539553752630e+00 1.858736059479553893e+00
5.400000000000000355e-01 5.600000000000000533e-01 1.600643540787680896e+00 1.247151936683055684e+00 2.155172413793103647e+00 1.825557809330628833e+00 1.672862453531598570e+00
5.600000000000000533e-01 5.799999999999999600e-01 1.564936877185494124e+00 1.331094855498261342e+00 1.422413793103448398e+00 2.231237322515212895e+00 1.765799256505576231e+00
5.799999999999999600e-01 5.999999999999999778e-01 1.572324462758360353e+00 1.244153975296798276e+00 1.465517241379310498e+00 2.941176470588235503e+00 1.951672862453531554e+00
5.999999999999999778e-01 6.199999999999999956e-01 1.466435736213944407e+00 1.277131550545629102e+00 1.163793103448275801e+00 1.521298174442190732e+00 1.951672862453531554e+00
6.199999999999999956e-01 6.400000000000000133e-01 1.426624858404609952e+00 1.106247751528960599e+00 1.637931034482758674e+00 2.535496957403651219e+00 2.509293680297397966e+00
6.400000000000000133e-01 6.600000000000000311e-01 1.339615517213074369e+00 1.025302794100012127e+00 2.284482758620689946e+00 2.636916835699797179e+00 1.579925650557620909e+00
6.600000000000000311e-01 6.800000000000000488e-01 1.286671153940866397e+00 8.244393812207699845e-01 1.379310344827586299e+00 2.332657200811359299e+00 2.973977695167286495e+00
6.800000000000000488e-01 7.000000000000000666e-01 1.179140741713591511e+00 8.574169564696008106e-01 1.508620689655172376e+00 1.521298174442190732e+00 2.044609665427509437e+00
7.000000000000000666e-01 7.199999999999999734e-01 1.618291661878416665e+00 1.193188631730423443e+00 2.974137931034482651e+00 3.245436105476673827e+00 3.531598513011152463e+00
7.199999999999999734e-01 7.399999999999999911e-01 1.215668248157207865e+00 8.484230723108288075e-01 2.025862068965517349e+00 2.839756592292089543e+00 2.973977695167286495e+00
7.399999999999999911e-01 7.600000000000000089e-01 8.750184689639322055e-01 5.606187792301235984e-01 1.163793103448275801e+00 1.926977687626775015e+00 1.765799256505576231e+00
7.600000000000000089e-01 7.800000000000000266e-01 5.877234744635791985e-01 2.938002158532198593e-01 1.034482758620689724e+00 1.115618661257606448e+00 8.364312267657992850e-01
7.800000000000000266e-01 8.000000000000000444e-01 3.812814998440398617e-01 1.888715673342127588e-01 3.448275862068965747e-01 6.085192697768763148e-01 6.505576208178438513e-01
8.000000000000000444e-01 8.200000000000000622e-01 1.994648104673879263e-01 6.595515049766159654e-02 2.155172413793103592e-01 1.014198782961460571e-01 2.788104089219330950e-01
8.200000000000000622e-01 8.399999999999999689e-01 6.730911299722555641e-02 3.297757524883079827e-02 8.620689655172414367e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.399999999999999689e-01 8.599999999999999867e-01 1.518559256644722889e-02 0.000000000000000000e+00 8.620689655172414367e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.599999999999999867e-01 8.800000000000000044e-01 2.052107103573949827e-03 2.997961386257345495e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.800000000000000044e-01 9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000222e-01 9.200000000000000400e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.200000000000000400e-01 9.400000000000000577e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.400000000000000577e-01 9.599999999999999645e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.599999999999999645e-01 9.799999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.799999999999999822e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
